"dt"	"level"	"Alice"	"Bob"
2014-06-30	1	7280	0
2014-06-30	2	6490	0
2014-06-30	3	10890	0
2014-06-30	4	14030	0
2014-06-30	5	14380	0
2014-06-30	6	9500	0
2014-06-30	7	10860	0
2014-06-30	8	9600	0
2014-06-30	9	8200	0
2014-06-30	10	6800	0
2014-06-30	11	11620	0
2014-06-30	12	10800	0
2014-06-30	13	6080	0
2014-06-30	14	11200	0
2014-06-30	15	5430	0
2014-06-30	16	6520	0
2014-06-30	17	0	0
2014-06-30	18	0	0
2014-06-30	19	0	0
2014-06-30	20	0	0
2014-06-30	21	0	0
2014-06-30	22	0	0
2014-06-30	23	0	0
2014-06-30	24	0	0
2014-06-30	25	0	0
2014-06-30	26	0	0
2014-06-30	27	0	0
2014-06-30	28	0	0
2014-06-30	29	0	0
2014-06-30	30	0	0
2014-06-30	31	0	0
2014-06-30	32	0	0
2014-06-30	33	0	0
2014-06-30	34	0	0
2014-06-30	35	0	0
2014-06-30	36	0	0
2014-06-30	37	0	0
2014-06-30	38	0	0
2014-06-30	39	0	0
2014-06-30	40	0	0
2014-06-30	41	0	0
2014-06-30	42	0	0
2014-06-30	43	0	0
2014-06-30	44	0	0
2014-06-30	45	0	0
2014-06-30	46	0	0
2014-06-30	47	0	0
2014-06-30	48	0	0
2014-06-30	49	0	0
2014-07-01	1	7280	0
2014-07-01	2	6490	0
2014-07-01	3	10890	0
2014-07-01	4	14030	0
2014-07-01	5	14380	0
2014-07-01	6	9500	0
2014-07-01	7	10860	0
2014-07-01	8	9600	0
2014-07-01	9	8200	0
2014-07-01	10	6800	0
2014-07-01	11	11620	0
2014-07-01	12	10800	0
2014-07-01	13	6080	0
2014-07-01	14	11200	0
2014-07-01	15	5430	0
2014-07-01	16	6520	0
2014-07-01	17	6220	0
2014-07-01	18	15920	0
2014-07-01	19	13250	0
2014-07-01	20	14460	0
2014-07-01	21	19410	0
2014-07-01	22	11810	0
2014-07-01	23	10620	0
2014-07-01	24	10150	0
2014-07-01	25	9240	0
2014-07-01	26	0	0
2014-07-01	27	0	0
2014-07-01	28	0	0
2014-07-01	29	0	0
2014-07-01	30	0	0
2014-07-01	31	0	0
2014-07-01	32	0	0
2014-07-01	33	0	0
2014-07-01	34	0	0
2014-07-01	35	0	0
2014-07-01	36	0	0
2014-07-01	37	0	0
2014-07-01	38	0	0
2014-07-01	39	0	0
2014-07-01	40	0	0
2014-07-01	41	0	0
2014-07-01	42	0	0
2014-07-01	43	0	0
2014-07-01	44	0	0
2014-07-01	45	0	0
2014-07-01	46	0	0
2014-07-01	47	0	0
2014-07-01	48	0	0
2014-07-01	49	0	0
2014-07-02	1	7280	0
2014-07-02	2	6490	0
2014-07-02	3	10890	0
2014-07-02	4	14030	0
2014-07-02	5	14380	0
2014-07-02	6	9500	0
2014-07-02	7	10860	0
2014-07-02	8	9600	0
2014-07-02	9	8200	0
2014-07-02	10	6800	0
2014-07-02	11	11620	0
2014-07-02	12	10800	0
2014-07-02	13	6080	0
2014-07-02	14	11200	0
2014-07-02	15	5430	0
2014-07-02	16	6520	0
2014-07-02	17	6220	0
2014-07-02	18	15920	0
2014-07-02	19	13250	0
2014-07-02	20	14460	0
2014-07-02	21	19410	0
2014-07-02	22	11810	0
2014-07-02	23	10620	0
2014-07-02	24	10150	0
2014-07-02	25	9240	0
2014-07-02	26	7590	0
2014-07-02	27	10570	0
2014-07-02	28	0	0
2014-07-02	29	0	0
2014-07-02	30	0	0
2014-07-02	31	0	0
2014-07-02	32	0	0
2014-07-02	33	0	0
2014-07-02	34	0	0
2014-07-02	35	0	0
2014-07-02	36	0	0
2014-07-02	37	0	0
2014-07-02	38	0	0
2014-07-02	39	0	0
2014-07-02	40	0	0
2014-07-02	41	0	0
2014-07-02	42	0	0
2014-07-02	43	0	0
2014-07-02	44	0	0
2014-07-02	45	0	0
2014-07-02	46	0	0
2014-07-02	47	0	0
